LATITUDE,LONGITUDE
43.9394,-118.4578
44.9325,-118.4294
44.9369,-118.4217
45.9203,-121.2856
26.8746,-80.5563
26.8854,-81.1637
26.8835,-81.1755
27.5362,-81.7656
28.6801,-82.022
29.997,-90.6326
32.6266,-88.8956
32.6201,-88.9241
35.1493,-79.9764
35.1478,-79.9872
35.7656,-79.996
35.7641,-80.0068
35.7744,-79.9979
35.7729,-80.0087
35.962,-80.1066
36.394,-80.708
36.3925,-80.7188
40.0757,-74.4065
39.4764,-85.7241
27.1933,-98.4951
27.1917,-98.5095
28.8359,-99.0711
28.8343,-99.0852
31.7416,-98.5989
32.7378,-98.8956
32.7233,-103.1978
34.0153,-110.0332
38.277,-112.4095
38.273,-112.4292
42.6821,-111.594
42.7188,-113.8982
44.743,-111.1277
44.748,-111.1346
42.631,-121.4181
42.6346,-121.4217
43.9369,-118.4502
43.9287,-118.4833
43.9416,-118.4566
44.9968,-114.1347
43.8208,-121.5912
43.8702,-121.572
44.8042,-118.3713
44.7965,-118.4028
44.8091,-118.4504
44.9404,-118.4444
46.3476,-113.3995
46.2157,-115.7467
46.2116,-115.766
46.1934,-115.8522
46.1889,-115.8735
46.1924,-115.8589
46.1165,-116.6865
46.5232,-115.8668
46.5252,-115.9127
46.5207,-115.9339
46.6829,-116.0656
46.8092,-115.7019
46.6717,-116.3935
46.6826,-116.3989
46.7951,-116.0997
46.0012,-119.926
46.005,-119.935
47.4058,-113.7363
47.4029,-113.7516
46.9339,-116.5565
46.9298,-116.5754
46.9405,-116.5818
46.9356,-116.6045
47.4651,-114.7348
47.4616,-114.753
47.1956,-116.0615
47.4612,-114.7382
47.4574,-114.7567
47.1954,-116.0663
47.0242,-116.9562
47.0355,-116.9613
47.3048,-116.6615
47.8541,-114.4628
47.4996,-116.5332
47.4947,-116.5557
47.9909,-116.8024
48.4325,-115.2651
48.5528,-114.8745
48.4173,-116.3706
48.4129,-116.3912
48.31,-116.9831
48.4138,-116.6071
48.4143,-116.6117
48.4244,-116.6187
48.4483,-117.3836
48.4436,-117.4048
48.669,-116.4221
48.6651,-116.4405
48.2461,-118.7962
48.24,-118.8218
34.2402,-119.0725
34.2354,-119.0768
34.2794,-119.1173
34.3196,-118.9769
34.3352,-118.9787
34.3325,-119.0183
34.3165,-118.9846
34.31,-119.0924
34.3319,-118.9873
34.3296,-119.0263
42.6332,-121.3903
42.6309,-121.43
42.636,-121.3994
43.0749,-124.3486
43.0946,-124.253
43.2149,-124.2029
43.3685,-124.2362
43.8228,-121.5504
43.8209,-121.5868
43.8665,-121.5546
43.8691,-121.563
44.6709,-119.8397
44.6978,-121.9806
44.712,-121.9858
44.7159,-121.9943
44.6888,-123.6448
45.0187,-123.7177
45.5869,-123.2808
45.9953,-123.5152
38.0988,-81.4638
38.0973,-81.4758
34.2983,-119.106
34.3441,-118.9861
34.3352,-119.0238
34.3248,-119.0676
34.3353,-118.9879
34.3259,-119.0262
34.3151,-119.0705
34.3039,-119.1161
34.3404,-119.0372
34.33,-119.0801
43.9849,-118.5254
43.9937,-118.5075
43.9882,-118.5325
46.1921,-115.8487
44.7475,-123.678
44.7413,-123.6813
46.5236,-115.8641
44.9457,-123.5937
44.9403,-123.5965
46.6856,-116.3449
46.6825,-116.3619
46.6836,-116.3496
46.6804,-116.3666
46.6933,-116.3542
46.6839,-116.4039
46.7032,-116.3579
46.7162,-116.3454
46.7131,-116.3618
46.933,-116.1937
46.9437,-116.5816
46.9405,-116.5984
47.2021,-116.0358
47.7848,-116.2272
48.4237,-116.6207
48.4266,-116.6115
45.007,-123.7055
45.0056,-123.7131
45.0202,-121.7216
46.6839,-116.3577
46.6929,-116.3554
46.7109,-116.3506
44.948,-123.5781
44.9498,-123.5737
34.3445,-119.0235
34.3414,-119.0021
34.3503,-119.0004
34.3487,-118.9897
34.3472,-118.979
34.3456,-118.9682
34.3441,-118.9575
34.343,-119.0128
34.3008,-119.1054
34.3096,-119.1036
34.3353,-118.9593
34.3368,-118.9701
34.3384,-118.9808
34.3399,-118.9914
34.3518,-119.0111
34.3533,-119.0218
34.3549,-119.0325
39.824,-74.9118
38.0438,-77.8149
35.827,-79.838
35.8309,-79.8446
38.0495,-77.8071
35.8289,-79.8641
47.9847,-96.7637
48.6251,-97.7185
48.6195,-97.7254
41.8347,-93.2933
43.6699,-95.7617
43.6715,-95.7746
36.4505,-94.4115
36.4595,-94.4093
36.3022,-94.5882
36.1137,-97.1509
34.4115,-95.9715
34.6843,-98.3218
34.6829,-98.3105
34.257,-96.8097
34.2555,-96.7991
33.9922,-96.3218
33.9906,-96.3112
28.6511,-97.7059
28.6496,-97.6959
27.4741,-98.0538
27.2026,-98.0307
47.695,-122.9323
47.6891,-122.9215
46.6895,-115.8662
46.6874,-115.8532
46.728,-116.4097
46.726,-116.397
47.1243,-121.7393
47.1227,-121.7232
47.0459,-121.209
47.0362,-121.211
46.2293,-117.548
46.2275,-117.5354
46.44,-120.2674
46.9431,-116.1795
46.9513,-116.5945
46.9494,-116.5817
46.9407,-116.5847
47.1698,-116.196
47.3982,-116.7907
47.9098,-116.9159
47.9116,-116.9289
47.6921,-114.5622
48.2494,-116.3864
48.5964,-118.7793
48.5982,-118.7933
48.0534,-114.0404
48.4385,-116.4079
48.5421,-116.7942
48.3594,-115.2197
48.3615,-115.2332
48.6054,-116.3404
48.4649,-114.7702
48.487,-114.7913
48.4893,-114.805
48.4915,-114.7607
48.4937,-114.7748
42.6809,-111.5905
43.808,-121.5578
42.4348,-112.9913
42.7567,-118.8493
42.6564,-118.7339
42.6547,-118.7221
44.8029,-118.3965
45.271,-122.2849
44.4675,-117.8729
44.9429,-123.5826
43.8173,-121.5555
46.4579,-122.3783
46.5885,-122.9646
46.594,-122.9567
45.8303,-117.6179
46.0181,-119.9009
46.0106,-119.9166
46.009,-119.9032
45.4467,-117.47
45.385,-117.4233
46.0027,-123.5116
44.9938,-116.1619
44.9918,-116.1495
45.5136,-123.497
45.5118,-123.478
45.5014,-123.4819
44.8588,-118.4705
44.8186,-118.4433
44.8098,-118.4457
39.6632,-122.1361
39.6617,-122.1237
39.6601,-122.1112
39.2765,-121.6897
39.1849,-122.2698
38.9303,-121.8599
39.1145,-122.1575
39.0327,-121.8692
39.0312,-121.8572
39.0237,-121.871
39.0221,-121.8591
38.2394,-120.241
36.2656,-118.0007
36.2589,-117.9957
34.305,-119.1061
34.3177,-118.9647
34.3231,-118.9392
34.325,-118.951
34.3269,-118.9627
34.3285,-118.9138
34.3323,-118.9373
34.3342,-118.949
34.3456,-119.0185
34.3415,-118.9352
34.3435,-118.947
34.3453,-118.9585
34.3472,-118.9699
34.3491,-118.9812
34.3547,-119.0159
34.3526,-118.9443
34.3544,-118.9558
34.3563,-118.9673
34.7209,-118.3036
39.8101,-74.9031
39.822,-74.9075
40.7981,-72.7766
41.4863,-71.6258
41.4869,-71.6315
41.5173,-71.6873
41.6377,-72.0502
40.6001,-79.1481
30.3713,-87.7805
29.8887,-91.5832
30.0845,-91.0736
30.571,-90.9274
30.7176,-90.0453
30.6021,-91.4721
31.0425,-89.2466
30.2571,-94.365
31.1456,-93.5208
33.5006,-86.141
33.5105,-86.1427
33.5089,-86.1562
33.6426,-89.6613
34.3433,-89.4858
34.4096,-89.5381
34.8889,-94.5871
34.8864,-94.592
35.4352,-94.0188
35.4328,-94.032
37.656,-89.819
37.2537,-93.1215
38.143,-88.2433
38.1379,-92.4822
38.369,-91.9974
38.953,-87.7937
38.7536,-91.0932
39.4979,-87.361
39.1054,-96.7005
39.1023,-96.7166
40.4377,-90.5961
39.9274,-94.715
39.9252,-94.7278
41.6341,-87.139
40.4704,-96.485
41.3241,-91.7442
40.7866,-95.952
41.5591,-96.3921
41.6434,-96.3349
42.5549,-91.4714
42.8933,-96.4001
44.2155,-90.0617
43.6701,-95.7662
45.2697,-96.651
45.9932,-95.0995
48.7897,-96.1818
48.7984,-96.185
32.7868,-111.7395
33.1257,-115.462
33.382,-117.3672
33.3799,-117.3794
34.3153,-118.9402
34.3128,-118.9541
34.3102,-118.9682
34.3253,-118.9425
34.3228,-118.9566
34.2967,-119.0984
34.3379,-118.9309
34.3353,-118.9448
34.3066,-119.1018
34.304,-119.1162
34.3453,-118.9472
34.355,-118.9512
34.3525,-118.9652
34.6076,-118.7534
34.6097,-118.7454
34.6072,-118.7588
34.6872,-120.4857
34.6839,-120.5027
38.1403,-121.577
38.1369,-121.5941
38.2559,-121.1547
38.1756,-121.5702
38.1722,-121.5872
38.2693,-121.1418
38.2662,-121.158
38.5389,-120.4775
38.5361,-120.4928
38.4044,-121.3002
38.9556,-119.7288
38.7494,-121.7608
38.9169,-121.732
38.9194,-121.7379
38.9767,-121.5605
39.3127,-120.1028
39.0264,-121.6475
39.0198,-121.6522
38.9828,-121.8931
38.9794,-121.9104
38.9443,-122.0842
38.9408,-122.1017
39.0249,-121.852
39.0215,-121.8692
38.7746,-123.0782
39.0469,-121.9697
39.0435,-121.9871
39.0297,-122.057
39.0404,-122.0606
39.0485,-121.9753
39.0344,-122.0449
39.0308,-122.0624
39.0591,-121.9788
39.5824,-119.519
39.5801,-119.532
39.0952,-122.1404
39.2385,-121.6649
39.2353,-121.6815
39.2011,-122.2641
39.1974,-122.282
39.2082,-122.2856
39.6183,-121.8141
39.6799,-122.1485
39.6825,-122.1561
39.8555,-121.9822
39.8522,-121.9991
40.4165,-121.0663
