DEP_Code,Name,Street_Add,Town_City,Type,Zip Code,tons,Lat,Long,X_Coord,Y_Coord,Status,Score
R1122,redacted,redacted,Framingham,R,,22.5,42.29805325,71.4126004,207206.9836,894178.4677,M,100
R1656,redacted,redacted,Hanover,R,,30,42.12754382,70.8301065,255387.7249,875453.1943,M,100
R1123,redacted,redacted,Brighton,R,,22.5,42.34904624,71.1522166,228655.1133,899897.2862,M,100
R3515,redacted,redacted,Boston,R,,90,42.35110278,71.0595386,236289.9444,900161.0001,T,100
R1657,redacted,redacted,Quincy,R,,30,42.25901423,70.9956937,241610.598,889961.532,M,100
W199,redacted,redacted,Boston,W,,,42.337176,71.0416388,237773.0246,898621.8564,M,100
R2163,redacted,redacted,Chatham,R,,37.5,41.67990285,69.9562271,328535.4541,826679.7634,M,100
R1124,redacted,redacted,Salem,R,,22.5,42.52194968,70.885792,250468.1985,919226.48,M,100
R168,redacted,redacted,Boston,R,,15,42.35164325,71.1250928,230888.6593,900195.2175,T,61
R1406,redacted,redacted,Northampton,R,,25.5,42.31912355,72.634214,106506.3605,897136.7906,M,100
G229,redacted,redacted,Berlin,G,,30,42.3629328,71.6287141,189397.0866,901389.3403,M,100
R169,redacted,redacted,Indian Orchard,R,,15,42.15734853,72.4906401,118131.9453,879021.5858,M,100
C97,redacted,redacted,Kingston,C,,18.3,41.98152466,70.7331421,263550.4862,859302.9076,M,100
F366,redacted,redacted,Northampton,F,,,42.32961011,72.6719811,103409.3984,898343.5708,M,100
R3516,redacted,redacted,Quincy,R,,90,42.24807396,70.9754739,243286.3983,888756.4333,M,100
C98,redacted,redacted,Westford,C,,0,42.57023101,71.4183682,206702.4369,924411.1642,M,100
F367,redacted,redacted,Orange,F,,,42.5884509,72.3108519,133444.635,926748.2282,M,100
W200,redacted,redacted,Waltham,W,,,42.05728084,71.9493352,162807.0168,867529.4541,T,66
R1125,redacted,redacted,Quincy,R,,22.5,42.24119993,70.990574,242044.8409,887985.3673,M,100
C99,redacted,redacted,Hyannis,C,,0,41.64860663,70.2919156,300637.1942,822753.2471,M,100
F368,redacted,redacted,Malden,F,,,42.42550137,71.0764348,234856.8277,908417.8561,M,100
W201,redacted,redacted,Gloucester,W,,,42.12787735,71.038069,238193.1047,875376.1583,T,66
W202,redacted,redacted,Gloucester,W,,,42.61705636,73.1221975,66915.19721,930875.0511,T,66
F369,redacted,redacted,Braintree,F,,,42.19259734,71.0291265,238892.7908,882568.7022,M,100
F370,redacted,redacted,Easton,F,,,42.04625853,71.076935,235024.6036,866294.0937,M,100
W203,redacted,redacted,South Easton,W,,,42.32820982,71.0738028,235127.4254,897612.1961,T,66
